Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.92199614399169E-11,-0.0941529803006172,-0.0224995580984477,0,0,0,0.2802723579374,0.00116984664458663,-8.92735795769532E-15,1.71458713112832E-14,0.000378721899834082,-6.55526755937483E-08,0.00147207362883365,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/base_link.STL,,RComp_WristArth-1,BaseLink_Coor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
WristArth_Link,-0.00014238,0.0075931,-4.9308E-09,0,0,0,0.0094364,1.6351E-06,-1.2453E-08,3.1371E-14,1.9977E-06,-8.4329E-13,3.0009E-06,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/WristArth_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/WristArth_Link.STL,,RComp_PalmJoinWristArth-1,WristArth_Coor,Axis_WristArth_BaseLink,WristArth_Joint,continuous,0,0.035,-0.0225,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Palm_Link,-0.000996764804213957,0.0321094885015849,-0.00231998863131476,0,0,0,0.043010605375804,5.54041148013462E-06,1.68736617459159E-06,8.64265885381586E-08,7.31708304129612E-06,5.78813802468215E-08,1.14534709808191E-05,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/Palm_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/Palm_Link.STL,,RComp_Palm-1,Palm_Coor,Axis_Palm_WristArth,Palm_Joint,continuous,0,0.0270002381763959,0,0,0,0,WristArth_Link,-1,0,0,,,,,,,,,,,,
ThumbArth_4_Link,6.96318031268989E-05,0.000551691623959905,-2.08554645775294E-10,0,0,0,0.00132367611281594,3.39364411704363E-08,1.7336474626544E-11,4.23651156346704E-13,1.2396729929759E-08,2.88502584973477E-16,3.94087806481275E-08,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/ThumbArth_4_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/ThumbArth_4_Link.STL,,RComp_PalmJoinThumbArth2-1,ThumbArth_4-Coor,Axis_Thumb4_Palm,ThumbArth_4_Joint,continuous,-0.0373776216869401,0.0282396610156985,-0.0104250544729608,-0.0173509972223506,0.277828062025534,1.54690272268651,Palm_Link,-1,0,0,,,,,,,,,,,,
ThumbArth_3_Link,1.73472347597681E-16,0.0302888523151623,-0.000508051230789744,0,0,0,0.00276558683424971,3.35873194150697E-07,8.27180612553028E-23,-6.41064974728596E-23,2.44759642209806E-08,1.22793233489419E-08,3.21445704407427E-07,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/ThumbArth_3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/ThumbArth_3_Link.STL,,RComp_Thumb_Arthrosis3-1,ThumbArth_3-Coor,Axis_Thumb3_Thumb4,ThumbArth_3_Joint,continuous,0.000159939498480935,0.00918364455238352,0,3.14159265358979,-1.5707963267949,0,ThumbArth_4_Link,1,0,0,,,,,,,,,,,,
ThumbArth_2_Link,9.26179549720629E-11,0.0189743467679013,-9.36971367455908E-05,0,0,0,0.00106939241736521,3.62692417645527E-08,-4.01077703245319E-16,-1.99462351856185E-15,5.7969779481806E-09,-1.50343763359219E-09,3.2611931035073E-08,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/ThumbArth_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/ThumbArth_2_Link.STL,,RComp_Thumb_Arthrosis2-1,ThumbArth_2-Coor,Axis_Thumb2_Thumb3,ThumbArth_2_Joint,continuous,0,0.0486709159350182,0,0,0,0,ThumbArth_3_Link,-1,0,0,,,,,,,,,,,,
ThumbArth_1_Link,-1.87995452538559E-13,0.0110121225748609,-0.000481049659573948,0,0,0,0.00059707072500337,1.7083833976333E-08,-2.96900273305782E-19,-4.4699020505018E-19,2.86551271885278E-09,-7.76913803814506E-10,1.54545880340748E-08,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/ThumbArth_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/ThumbArth_1_Link.STL,,RComp_Thumb_Arthrosis1-1,ThumbArth_1-Coor,Axis_Thumb1_Thumb2,ThumbArth_1_Joint,continuous,0,0.0333689103147325,0,0,0,0,ThumbArth_2_Link,-1,0,0,,,,,,,,,,,,
IndexFingerArth_4_Link,-5.55111512312578E-17,0.00322769309742316,-5.55111512312578E-17,0,0,0,0.00248334722292415,1.31432778272595E-07,2.56736182621146E-22,-2.20115564315457E-15,1.43571997745869E-08,-3.1024442849567E-22,1.3546798750571E-07,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/IndexFingerArth_4_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/IndexFingerArth_4_Link.STL,,RComp_IndexFinger_Arthrosis3_Aux1_Aux2-1,IndexFingerArth_4_Coor,Axis_IndexFinger4_Palm,IndexFingerArth_4_Joint,continuous,-0.0246155312110056,0.0880171234273368,0.00423706647925437,0,-0.016688636846923,0,Palm_Link,0,0,-1,,,,,,,,,,,,
IndexFingerArth_3_Link,-4.62580529436707E-11,0.0234739049177997,-7.94326312575921E-05,0,0,0,0.00137270639177356,8.47026500171895E-08,4.33250961206174E-16,-2.34496997169246E-15,7.98401749249834E-09,-3.23131590533246E-09,7.96698726226064E-08,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/IndexFingerArth_3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/IndexFingerArth_3_Link.STL,,RComp_IndexFinger_Arthrosis3-1,IndexFingerArth_3_Coor,Axis_IndexFinger3_IndexFinger4,IndexFingerArth_3_Joint,continuous,0,0.025758853392147,0,0,0,0,IndexFingerArth_4_Link,-1,0,0,,,,,,,,,,,,
IndexFingerArth_2__Link,-7.67428343095844E-11,0.0188555769430923,-0.000107309572158099,0,0,0,0.0011671336534887,4.02569090202593E-08,4.08250848856738E-16,-2.36087047128318E-15,7.28265779581941E-09,-7.06578250519234E-10,3.53794849032281E-08,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/IndexFingerArth_2__Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/IndexFingerArth_2__Link.STL,,RComp_IndexFinger_Arthrosis2-1,IndexFingerArth_2_Coor,Axis_IndexFinger2_IndexFinger3,IndexFingerArth_2_Joint,continuous,0,0.0421689103147312,0,0,0,0,IndexFingerArth_3_Link,-1,0,0,,,,,,,,,,,,
